,Date,Total Prism,Normal,Boost
240,2022-11-01,85835616.43835616,68668493.15068494,17167123.287671234
241,2022-11-02,86191780.8219178,68953424.65753424,17238356.16438356
242,2022-11-03,86547945.20547946,69238356.16438356,17309589.04109589
243,2022-11-04,86904109.5890411,69523287.67123288,17380821.91780822
244,2022-11-05,87260273.97260274,69808219.1780822,17452054.79452055
245,2022-11-06,87616438.35616438,70093150.6849315,17523287.671232875
246,2022-11-07,87972602.73972602,70378082.19178082,17594520.547945205
247,2022-11-08,88328767.12328766,70663013.69863014,17665753.424657535
248,2022-11-09,88684931.50684932,70947945.20547946,17736986.301369864
249,2022-11-10,89041095.89041096,71232876.71232876,17808219.17808219
250,2022-11-11,89397260.2739726,71517808.21917808,17879452.05479452
251,2022-11-12,89753424.65753424,71802739.7260274,17950684.93150685
252,2022-11-13,90109589.04109588,72087671.23287672,18021917.80821918
253,2022-11-14,90465753.42465754,72372602.73972602,18093150.684931505
254,2022-11-15,90821917.80821918,72657534.24657534,18164383.561643835
255,2022-11-16,91178082.19178082,72942465.75342466,18235616.438356165
256,2022-11-17,91534246.57534246,73227397.26027398,18306849.315068495
257,2022-11-18,91890410.9589041,73512328.7671233,18378082.191780824
258,2022-11-19,92246575.34246576,73797260.2739726,18449315.06849315
259,2022-11-20,92602739.7260274,74082191.78082192,18520547.94520548
260,2022-11-21,92958904.10958904,74367123.28767124,18591780.82191781
261,2022-11-22,93315068.49315068,74652054.79452056,18663013.69863014
262,2022-11-23,93671232.87671232,74936986.30136986,18734246.575342465
263,2022-11-24,94027397.26027398,75221917.80821918,18805479.452054795
264,2022-11-25,94383561.64383562,75506849.3150685,18876712.328767125
265,2022-11-26,94739726.02739726,75791780.82191782,18947945.205479454
266,2022-11-27,95095890.4109589,76076712.32876712,19019178.08219178
267,2022-11-28,95452054.79452054,76361643.83561644,19090410.95890411
268,2022-11-29,95808219.17808218,76646575.34246576,19161643.83561644
269,2022-11-30,96164383.56164384,76931506.84931508,19232876.71232877
270,2022-12-01,96520547.94520548,77216438.35616438,19304109.589041095
271,2022-12-02,96876712.32876712,77501369.8630137,19375342.465753425
272,2022-12-03,97232876.71232876,77786301.36986302,19446575.342465755
273,2022-12-04,97589041.0958904,78071232.87671234,19517808.219178084
274,2022-12-05,97945205.47945206,78356164.38356164,19589041.09589041
275,2022-12-06,98301369.8630137,78641095.89041096,19660273.97260274
276,2022-12-07,98657534.24657534,78926027.39726028,19731506.84931507
277,2022-12-08,99013698.63013698,79210958.9041096,19802739.7260274
278,2022-12-09,99369863.01369862,79495890.4109589,19873972.602739725
279,2022-12-10,99726027.39726028,79780821.91780822,19945205.479452055
280,2022-12-11,100082191.78082192,80065753.42465754,20016438.356164385
281,2022-12-12,100438356.16438356,80350684.93150686,20087671.232876714
282,2022-12-13,100794520.5479452,80635616.43835616,20158904.10958904
283,2022-12-14,101150684.93150684,80920547.94520548,20230136.98630137
284,2022-12-15,101506849.3150685,81205479.4520548,20301369.8630137
285,2022-12-16,101863013.69863014,81490410.95890412,20372602.73972603
286,2022-12-17,102219178.08219178,81775342.46575342,20443835.616438355
